,productGroup,asin,categories,categoryTree,rootCategory,nodepath,nodeID
42,Home,B00B8XG38G,"[3732781, 18715717011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063252, 'name': 'Bedding'}, {'catId': 1063274, 'name': 'Sheets & Pillowcases'}, {'catId': 3732781, 'name': 'Sheet & Pillowcase Sets'}]",1055398,,
43,Home,B001FBK66Q,"[3735611, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 21557027011, 'name': 'Photo Albums, Frames & Accessories'}, {'catId': 1063286, 'name': 'Picture Frames'}, {'catId': 3735611, 'name': 'Wall & Tabletop Frames'}]",1055398,,
44,Sports,B002S7H920,"[668180011, 18327717011, 23685535011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063306, 'name': 'Furniture'}, {'catId': 5422303011, 'name': 'Game & Recreation Room Furniture'}, {'catId': 18682062011, 'name': 'Gaming Chairs'}, {'catId': 668180011, 'name': 'Video Game Chairs'}]",1055398,,
45,Home,B007U2HHUW,"[20975610011, 18505454011, 18715717011, 3742031]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337664011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_7901'}, {'catId': 20975610011, 'name': 'Passover'}]",265523,,
46,Home,B003B6IQI8,"[3734481, 18505454011, 13900811, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 1063282, 'name': 'Candles & Holders'}, {'catId': 3734391, 'name': 'Candles'}, {'catId': 3734481, 'name': 'Jar Candles'}]",1055398,,
47,Home,B004GXAKT8,"[3731761, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063236, 'name': 'Bath'}, {'catId': 1063244, 'name': 'Towels'}, {'catId': 3731761, 'name': 'Towel Sets'}]",1055398,,
48,Toy,B0019FG5MW,"[3733381, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063306, 'name': 'Furniture'}, {'catId': 1063314, 'name': ""Kids' Furniture""}, {'catId': 3733381, 'name': 'Bookcases, Cabinets & Shelves'}]",1055398,,
49,Kitchen,B003NK8UHY,"[82785833011, 14309871, 289862, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337725011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_2901'}, {'catId': 77072584011, 'name': 'Food Service'}, {'catId': 77077425011, 'name': 'Cutlery, Dinnerware and Knives'}, {'catId': 82785833011, 'name': 'Specialty Knives'}]",265523,"Home & Kitchen/Kitchen & Dining/Food Service Equipment & Supplies/Cookware, Bakeware & Tools/Kitchen Knives/Specialty Knives",289862.0
50,Kitchen,B003NK8UHY,"[82785833011, 14309871, 289862, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337725011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_2901'}, {'catId': 77072584011, 'name': 'Food Service'}, {'catId': 77077425011, 'name': 'Cutlery, Dinnerware and Knives'}, {'catId': 82785833011, 'name': 'Specialty Knives'}]",265523,Home & Kitchen/Kitchen & Dining/Kitchen Utensils & Gadgets/Kitchen Knives & Accessories/Specialty Knives,289862.0
51,Home,B00024JS3E,"[16351521, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 284507, 'name': 'Kitchen & Dining'}, {'catId': 510136, 'name': 'Storage & Organization'}, {'catId': 23691552011, 'name': 'Racks & Holders'}, {'catId': 3743971, 'name': 'Cabinet & Drawer Organization'}, {'catId': 16351521, 'name': 'Pull-Out Organizers'}]",1055398,,
